Name,Euro_g
29/12/1978,4.41
01/01/1979,4.41
02/01/1979,4.41
03/01/1979,4.31
04/01/1979,4.4
05/01/1979,4.45
08/01/1979,4.39
09/01/1979,4.41
10/01/1979,4.36
11/01/1979,4.37
12/01/1979,4.31
15/01/1979,4.3
16/01/1979,4.36
17/01/1979,4.48
18/01/1979,4.56
19/01/1979,4.54
22/01/1979,4.63
23/01/1979,4.54
24/01/1979,4.65
25/01/1979,4.63
26/01/1979,4.65
29/01/1979,4.67
30/01/1979,4.63
31/01/1979,4.66
01/02/1979,4.59
02/02/1979,4.61
05/02/1979,4.83
06/02/1979,4.85
07/02/1979,4.94
08/02/1979,4.94
09/02/1979,4.86
12/02/1979,4.82
13/02/1979,4.76
14/02/1979,4.77
15/02/1979,4.9
16/02/1979,4.89
19/02/1979,4.91
20/02/1979,4.89
21/02/1979,4.97
22/02/1979,5.0
23/02/1979,4.96
26/02/1979,4.91
27/02/1979,4.9
28/02/1979,4.97
01/03/1979,4.93
02/03/1979,4.91
05/03/1979,4.73
06/03/1979,4.76
07/03/1979,4.79
08/03/1979,4.73
09/03/1979,4.77
12/03/1979,4.76
13/03/1979,4.75
14/03/1979,4.75
15/03/1979,4.77
16/03/1979,4.85
19/03/1979,4.81
20/03/1979,4.8
21/03/1979,4.77
22/03/1979,4.82
23/03/1979,4.81
26/03/1979,4.86
27/03/1979,4.85
28/03/1979,4.85
29/03/1979,4.79
30/03/1979,4.76
02/04/1979,4.77
03/04/1979,4.78
04/04/1979,4.77
05/04/1979,4.79
06/04/1979,4.77
09/04/1979,4.82
10/04/1979,4.8
11/04/1979,4.77
12/04/1979,4.69
13/04/1979,4.69
16/04/1979,4.69
17/04/1979,4.66
18/04/1979,4.68
19/04/1979,4.82
20/04/1979,4.75
23/04/1979,4.75
24/04/1979,4.8
25/04/1979,4.84
26/04/1979,4.85
27/04/1979,4.86
30/04/1979,4.91
01/05/1979,4.91
02/05/1979,4.93
03/05/1979,4.93
04/05/1979,4.97
07/05/1979,4.97
08/05/1979,4.98
09/05/1979,4.95
10/05/1979,5.05
11/05/1979,5.04
14/05/1979,5.03
15/05/1979,5.13
16/05/1979,5.15
17/05/1979,5.17
18/05/1979,5.18
21/05/1979,5.3
22/05/1979,5.36
23/05/1979,5.33
24/05/1979,5.32
25/05/1979,5.47
28/05/1979,5.47
29/05/1979,5.54
30/05/1979,5.46
31/05/1979,5.53
01/06/1979,5.55
04/06/1979,5.5
05/06/1979,5.54
06/06/1979,5.65
07/06/1979,5.57
08/06/1979,5.64
11/06/1979,5.69
12/06/1979,5.59
13/06/1979,5.57
14/06/1979,5.61
15/06/1979,5.6
18/06/1979,5.56
19/06/1979,5.56
20/06/1979,5.57
21/06/1979,5.58
22/06/1979,5.59
25/06/1979,5.56
26/06/1979,5.54
27/06/1979,5.53
28/06/1979,5.41
29/06/1979,5.43
02/07/1979,5.54
03/07/1979,5.51
04/07/1979,5.53
05/07/1979,5.62
06/07/1979,5.68
09/07/1979,5.64
10/07/1979,5.68
11/07/1979,5.65
12/07/1979,5.66
13/07/1979,5.6
16/07/1979,5.69
17/07/1979,5.73
18/07/1979,5.82
19/07/1979,5.77
